,lat,lon,intersection_type,number_of_accidents,average_cost_to_insurers,fatal_accident_number,major_accident_number,minor_accident_number,unknown_accident_number,property_accident_number
0,42.462347938154736,-92.9401088047834,,97,640333.3333333334,96,0,0,0,1
1,41.55671262369388,-90.55093041432144,,1179,533666.6666666666,0,7,81,315,776
2,41.55509793680078,-93.59684553406485,,1079,513000.0,2,7,81,317,672
3,41.6810742925462,-93.10260466543262,,141,509666.6666666667,0,96,11,4,30
4,41.72915238427543,-93.60036961707085,,748,486000.0,2,28,70,144,504
5,41.58118966608838,-93.59683939698617,,940,482333.3333333333,3,9,81,260,587
6,41.61488320727063,-93.77954683707993,,813,387000.0,0,12,45,166,590
7,41.73177659537025,-93.6003833645538,,697,368333.3333333333,0,12,60,143,482
8,41.55337960671017,-93.59683702413766,,690,362000.0,0,14,50,181,445
9,41.600475641170604,-93.55839915190388,,510,357333.3333333333,0,23,60,96,331
10,41.627719054017575,-93.60051673313811,,572,353666.6666666667,3,16,52,152,349
11,42.03477469305342,-91.6676865331657,,712,342000.0,0,5,61,120,526
12,41.57908799438983,-93.59688345177791,,626,324666.6666666667,0,6,66,162,392
13,41.61536844482831,-93.64654562345122,,687,321000.0,0,10,34,165,478
14,41.59393673790175,-93.59510813763619,,580,319333.3333333333,0,13,49,129,389
15,41.52117991430156,-90.58343201515756,,660,318000.0,0,5,56,140,459
16,41.23067466381299,-95.85134608722184,,604,316000.0,0,16,30,142,416
17,41.574840595496745,-90.52854426637153,,759,309666.6666666667,0,3,32,150,574
18,41.53828356034416,-90.57719172780642,,558,308666.6666666667,0,18,29,161,350
19,41.70293901041862,-93.58126943878857,,700,301333.3333333333,0,0,51,118,531
20,41.57477975513071,-90.54113130286933,,620,300000.0,0,4,56,136,424
21,41.56009383801975,-90.59104943016952,,407,292666.6666666667,5,14,45,110,233
22,41.53818913172675,-90.57390005088538,,611,285666.6666666667,0,5,44,145,417
23,41.627717358308615,-93.61985948934961,,512,282666.6666666667,0,14,35,139,324
24,42.50037064109123,-90.72146443653092,,614,280666.6666666667,0,0,57,117,440
25,41.26189826022421,-95.9022616940705,,638,278333.3333333333,1,3,34,148,452
26,41.65020291048405,-91.54022170435941,,562,272666.6666666667,0,8,36,70,448
27,41.596209715826284,-93.62568207132745,,397,272333.3333333333,2,9,64,141,181
28,41.73157806998783,-93.58110096425825,,573,269666.6666666667,0,4,45,108,416
29,41.56009845292588,-90.60059505480606,,593,265666.6666666667,0,4,37,150,402
30,41.595317395475966,-93.64428959669956,,456,264666.6666666667,0,9,53,116,278
31,41.6008242001598,-93.62577201682518,,532,263333.3333333333,0,9,33,131,359
32,41.596382133396915,-93.6425239354308,,383,262333.3333333333,2,7,67,108,199
33,41.58481896356387,-93.80912696974995,,580,260666.66666666666,0,3,40,113,424
34,41.574915423576165,-90.51338762313686,,460,260000.0,0,10,45,98,307
35,41.59496378509423,-93.59567747343478,,552,259333.33333333334,0,7,32,112,401
36,41.560305614026944,-90.57093491468099,,558,258000.0,0,2,47,105,404
37,41.26185672266264,-95.86755526133331,,492,258000.0,0,7,46,141,298
38,41.015296580313866,-92.42332745905532,,325,256666.66666666666,1,17,47,97,163
39,41.52628524920559,-93.59681039780084,,467,252000.0,3,8,30,125,301
40,41.60050849734627,-93.57860117458488,,595,249000.0,0,0,38,144,413
41,41.70307937041376,-93.6215102514324,,481,247666.66666666666,0,7,41,114,319
42,42.498751125939634,-92.45277742573899,,364,246333.33333333334,3,7,55,68,231
43,42.49178679427994,-96.41272136084184,,468,245333.33333333334,0,8,39,114,307
44,41.52339911440283,-90.51329378124534,,432,242666.66666666666,0,0,74,82,276
45,41.641139984200535,-91.51165130804607,,434,240666.66666666666,0,6,51,84,293
46,41.538244505500074,-90.60103288278121,,544,238000.0,0,5,25,118,396
47,41.548079962692746,-93.5968771799949,,397,236000.0,3,7,39,88,260
48,41.70286842021747,-93.60057346131258,,483,235666.66666666666,0,6,35,101,341
49,41.658568879115776,-93.62020641259808,,311,235000.0,4,15,27,73,192
50,41.695914763554974,-91.60848171342086,,537,235000.0,0,6,21,58,452
51,42.03474642296844,-91.67521326697954,,538,231333.33333333334,0,2,32,97,407
52,42.022902542433165,-93.61696333607003,,471,230333.33333333334,0,6,34,69,362
53,41.59523326703891,-93.62687390813171,,463,229000.0,0,2,49,119,293
54,41.64552936325493,-91.53218170519061,,514,228666.66666666666,0,0,43,80,391
55,41.56974920628287,-93.59693071871489,,449,226000.0,3,2,36,147,261
56,41.58267703823997,-93.70349272631535,,371,223666.66666666666,4,6,35,93,233
57,41.60031934325433,-93.61974724712826,,413,222666.66666666666,1,4,45,116,247
58,41.60057543083582,-93.60043085243029,,481,222333.33333333334,0,1,43,137,300
59,42.49200821701422,-90.66512642056966,,495,222000.0,1,0,38,96,360
60,41.963545364607064,-91.71602904728965,,397,221666.66666666666,0,6,46,63,282
61,41.956488302305125,-91.71626127452777,,377,219000.0,0,2,63,91,221
62,41.59598020109763,-93.75189943353413,,410,218666.66666666666,0,9,30,67,304
63,41.5970884522371,-93.59647602948328,,329,217666.66666666666,2,11,33,93,190
64,41.60041320898328,-93.64254461861061,,357,217666.66666666666,0,4,60,97,196
65,41.538267328954234,-90.56966370198072,,415,217000.0,0,10,24,125,256
66,42.492082387542276,-90.72050539886379,,426,215333.33333333334,4,2,29,80,311
67,42.02290463181483,-93.62024598610242,,459,213000.0,0,6,24,77,352
68,41.261839934826156,-95.85602349994925,,414,212666.66666666666,0,4,42,119,249
69,41.60051997727465,-93.5807783479176,,437,212333.33333333334,0,6,29,118,284
70,41.66909124378312,-91.56581959219723,,507,211000.0,0,3,21,61,422
71,42.00838172614846,-93.61009377383446,,411,210333.33333333334,0,6,34,47,324
72,41.59541295780146,-93.63544022609699,,433,210333.33333333334,0,9,18,117,289
73,41.65781025942866,-91.53017641091535,,378,209000.0,1,5,40,72,260
74,41.65691948340842,-91.57389647549994,,360,207333.33333333334,0,13,20,45,282
75,41.554944083982456,-90.52730596049341,,454,207333.33333333334,0,4,28,93,329
76,41.52634491627361,-93.60643714189935,,318,207000.0,1,4,57,95,161
77,42.01800474369468,-93.61034823674832,,465,206333.33333333334,0,1,35,82,347
78,41.60043754115456,-93.77113770399696,,330,206000.0,0,12,30,69,219
79,41.629592635985574,-93.54369689634295,,277,205000.0,0,13,39,76,149
80,41.52160854562066,-90.51323699481262,,427,204333.33333333334,0,3,36,132,256
81,42.469497071253876,-92.4458325120692,,260,204000.0,0,14,39,30,177
82,42.03572001342068,-91.55027852188915,,397,203666.66666666666,0,7,29,104,257
83,42.035246278692405,-91.65832745117689,,390,203333.33333333334,0,2,48,59,281
84,41.64391607292334,-93.69770646909971,,391,203000.0,2,0,45,89,255
85,41.57451004965683,-90.5716795149526,,338,202666.66666666666,2,6,37,72,221
86,41.62939026360517,-93.69778639295149,,433,201666.66666666666,0,4,29,111,289
87,42.4918349061416,-90.6681131135251,,438,200000.0,2,0,31,86,319
88,41.52650865128164,-93.62571633903681,,380,200000.0,0,6,34,100,240
89,41.62768039255849,-93.62472575951276,,351,199000.0,0,7,37,83,224
90,41.265034310216095,-95.8440469910174,,287,199000.0,0,13,32,60,182
91,41.58696637714207,-93.62898710239773,,352,196666.66666666666,0,7,35,91,219
92,41.2187719261224,-95.87885198036709,,237,196333.33333333334,6,9,28,57,137
93,41.55685566032315,-90.54166420560259,,390,195333.33333333334,0,4,35,63,288
94,42.492204844129965,-90.71464431238553,,485,195000.0,0,0,25,83,377
95,42.510567930293064,-96.41676338261028,,331,195000.0,0,13,18,97,203
96,41.59345946123209,-93.59800498214666,,375,195000.0,0,3,42,84,246
97,41.65860972183709,-93.77499472289057,,448,194666.66666666666,0,4,20,66,358
98,41.96373257249233,-91.72590697517055,,258,189333.33333333334,0,13,32,55,158
99,41.58562625827798,-90.57136798261499,,439,189000.0,0,0,32,98,309
100,42.46554679028746,-96.34643887857185,,334,189000.0,3,0,44,79,208
