,lat,lon,cluster_id,intersection_type,number_of_accidents,average_cost_to_insurers,fatal_accident_number,major_accident_number,minor_accident_number,unknown_accident_number,property_accident_number
0,41.5382138540336,-90.61314771764803,65,,179,122666.66666666667,1,7,18,46,107
1,41.560126554527976,-90.57834461915022,73,,233,140333.33333333334,2,5,20,65,141
2,41.52342704838814,-90.60119064691322,141,,219,120333.33333333333,0,3,25,56,135
3,42.505124931028874,-96.41685360875479,193,,208,117333.33333333333,0,2,29,53,124
4,41.55688677374318,-90.54776929849042,236,,471,187666.66666666666,0,0,23,148,300
5,41.53825721275551,-90.591296283599,249,,409,183000.0,0,0,35,93,281
6,41.52242360819056,-90.57703025522703,333,,273,104333.33333333333,0,2,3,33,235
7,42.5002869063334,-96.42044535752126,399,,282,133333.33333333334,0,1,26,78,177
8,41.52346759476528,-90.59088517378542,435,,247,164333.33333333334,0,1,58,63,125
9,42.49178679427994,-96.41272136084184,445,,468,245333.33333333334,0,8,39,114,307
10,42.496341229132156,-96.40199846104247,446,,212,110666.66666666667,0,6,9,42,155
11,41.52232365303687,-90.60118477630873,479,,217,136333.33333333334,0,6,27,47,137
12,41.538244505500074,-90.60103288278121,753,,544,238000.0,0,5,25,118,396
13,42.43527728490371,-96.36985307202593,792,,270,118000.0,0,2,14,87,167
14,41.54551238949065,-90.57695540578972,798,,214,101333.33333333333,0,3,12,66,133
15,41.56026091138172,-90.5682449233695,802,,414,185333.33333333334,0,5,18,94,297
16,41.579942555879605,-90.57143016676955,836,,191,170333.33333333334,0,16,24,45,106
17,41.574510705219794,-90.56962530813257,838,,264,128666.66666666667,2,2,14,51,195
18,41.57451004965683,-90.5716795149526,852,,338,202666.66666666666,2,6,37,72,221
19,42.44732952275663,-96.34643627369073,900,,456,185333.33333333334,0,0,25,103,328
20,41.522392336387284,-90.5829514069512,1052,,328,172000.0,0,6,26,89,207
21,41.53825980102722,-90.59613105353844,1320,,221,129666.66666666667,0,4,28,62,127
22,41.560190763580735,-90.57529468594622,1334,,279,147666.66666666666,0,4,27,75,173
23,41.53827093164837,-90.5784924864345,1463,,145,103000.0,0,8,13,28,96
24,41.538267328954234,-90.56966370198072,1480,,415,217000.0,0,10,24,125,256
25,41.522466862967164,-90.57405880489362,1482,,395,151666.66666666666,0,0,15,43,337
26,41.55562109839599,-90.5770297584,1515,,245,124333.33333333333,0,4,18,43,180
27,41.53830264303931,-90.55823573119636,1539,,331,142000.0,1,2,12,81,235
28,42.4898272777693,-96.39779488429957,1706,,247,112333.33333333333,0,5,5,63,174
29,42.533963687695575,-96.37022219469871,1717,,312,154666.66666666666,0,4,24,71,213
30,41.55560997093977,-90.59105749904208,1811,,166,100666.66666666667,0,2,27,35,102
31,42.46554679028746,-96.34643887857185,1890,,334,189000.0,3,0,44,79,208
32,41.58562625827798,-90.57136798261499,2033,,439,189000.0,0,0,32,98,309
33,41.57483489277431,-90.52031620308148,2213,,319,153000.0,0,2,28,52,237
34,41.50848335055565,-90.68832121444446,2287,,126,136000.0,0,11,32,17,66
35,41.55688917644389,-90.55709478119661,2383,,178,114000.0,0,8,13,30,127
36,41.53828547079022,-90.57554674359433,2519,,286,142000.0,0,2,28,82,174
37,41.5383476738384,-90.55152666189893,2748,,198,102666.66666666667,0,1,24,41,132
38,42.495210721472354,-96.41062524509363,2877,,235,134000.0,1,4,23,62,145
39,41.54550549086594,-90.59122963932317,2879,,328,153333.33333333334,0,2,26,89,211
40,41.57450764208508,-90.600360511115,2886,,200,166333.33333333334,5,8,23,50,114
41,41.53826950224608,-90.5827851006178,2923,,191,107000.0,0,5,15,53,118
42,42.48987496403078,-96.37445316445127,3085,,195,103666.66666666667,0,4,15,51,125
43,41.554944083982456,-90.52730596049341,3247,,454,207333.33333333334,0,4,28,93,329
44,41.560115388091624,-90.61029378056098,3269,,262,141333.33333333334,0,1,37,50,174
45,42.434853478856056,-96.3723674363251,3296,,243,106333.33333333333,0,0,19,39,185
46,41.5748889591421,-90.51715565517158,3455,,338,163333.33333333334,0,4,24,58,252
47,41.55685566032315,-90.54166420560259,3462,,390,195333.33333333334,0,4,35,63,288
48,42.49635240629301,-96.40347267372728,3554,,198,104666.66666666667,0,0,29,55,114
49,41.53824674138435,-90.59869272832405,3705,,216,103333.33333333333,0,1,20,31,164
50,42.44514552003536,-96.3469037766666,3959,,198,104666.66666666667,0,4,15,50,129
51,42.50498391810715,-96.40355538018876,4004,,196,112666.66666666667,0,7,11,60,118
52,41.55724573462046,-90.5606217048759,4075,,137,103666.66666666667,0,7,19,38,73
53,41.5382688342653,-90.56486421935216,4220,,230,115333.33333333333,0,4,15,88,123
54,42.510567930293064,-96.41676338261028,4286,,331,195000.0,0,13,18,97,203
55,41.545482745133796,-90.61057487970929,4538,,172,105333.33333333333,0,6,15,46,105
56,42.49308830320819,-96.40491198705715,5009,,245,134333.33333333334,0,5,22,57,161
57,41.57471511306561,-90.55130319398621,5065,,290,172000.0,0,9,25,61,195
58,41.54554018147919,-90.57232430111665,5797,,240,124000.0,0,4,19,67,150
59,41.56102352680008,-90.62951547885362,6381,,205,180333.33333333334,4,10,30,57,104
60,42.50323209980909,-96.41849811640908,6389,,220,147666.66666666666,1,10,16,53,140
61,42.52986437413555,-96.36133231283875,11475,,273,181000.0,0,9,36,68,160
62,41.59874174333766,-90.61779872710184,11806,,157,132333.33333333334,0,10,25,32,90
